DEC Region,Land Acquisition Category,County,Project Number,Project Name (Alias),Acres (Fee),Acres (Conservation Easement),Equivalent Stream Miles,Deed Vesting Date
8,AC,Ontario,12.11,Sra Ontario 2,101.7,,,1996-03-28T00:00:00.000
1,PB,Suffolk,95.01,Edwards Avenue,4.62,,,1996-04-17T00:00:00.000
3,TOJ,Dutchess,47,Swamp River,0.11,,0.874,1996-04-19T00:00:00.000
6,PLB,St Lawrence,233,Sra St. Lawrence 6,13,,,1996-05-03T00:00:00.000
5,TOJ,Clinton,103,Rouses Point-lake Champlain,50.278,,,1996-05-08T00:00:00.000
3,PFR,Dutchess,8.011,Wappinger Creek,,,0.021,1996-05-17T00:00:00.000
4,PLB,Albany,25.01,Five Rivers Ed. Center,17.54,,,1996-05-21T00:00:00.000
6,EX,Jefferson,140A,Perch River Gma,46.34,,,1996-05-21T00:00:00.000
5,AFP,Essex,401,The Flume,2.73,,,1996-05-29T00:00:00.000
7,PLB,Oswego,97,Happy Valley Wma,30,,,1996-05-31T00:00:00.000
6,AC,Lewis,201A,Sra Lewis 19,50,,,1996-05-31T00:00:00.000
6,AC,Lewis,201B,Sra Lewis 19,86,,,1996-05-31T00:00:00.000
4,PFR,Rensselaer,11.18,Little Hoosic River,,,0.115,1996-06-11T00:00:00.000
1,PB,Suffolk,97.02,Peconic East,24,,,1996-06-18T00:00:00.000
1,PB,Suffolk,97.06,Peconic East,12.5,,,1996-06-21T00:00:00.000
1,PB,Suffolk,094.01C,Brookhaven Kettleholes,99.77,,,1996-07-01T00:00:00.000
1,PB,Suffolk,094.01E,Brookhaven Kettleholes,128.786,,,1996-07-01T00:00:00.000
1,PB,Suffolk,094.01D,Brookhaven Kettleholes,173.41,,,1996-07-01T00:00:00.000
1,PB,Suffolk,102.01,Omnia East,256.97,,,1996-07-01T00:00:00.000
4,PFR,Columbia,39,Tagkanic Creek,0,,,1996-07-11T00:00:00.000
4,PFR,Rensselaer,23.01,Poestenkill,,,0.136,1996-07-11T00:00:00.000
1,PB,Suffolk,094.01A,Brookhaven Kettleholes,75.03,,,1996-07-31T00:00:00.000
7,UA,Madison,063.044A,St. Pierre,5.72,,,1996-08-09T00:00:00.000
7,UA,Madison,63.043,St. Pierre,8.43,,,1996-08-09T00:00:00.000
7,UA,Madison,63.044,St. Pierre,21.12,,,1996-08-09T00:00:00.000
9,PFR,Cattaraugus,38.22,Ischua Creek,,,0.99,1996-08-12T00:00:00.000
6,AC,Lewis,203,,275.093,,,1996-08-12T00:00:00.000
9,FWL,Chautauqua,60.07,Alder Bottom Wetlands,94.88,,,1996-08-13T00:00:00.000
3,PFR,Dutchess,8.013,Wappinger Creek,,,0.154,1996-08-19T00:00:00.000
1,PB,Suffolk,93.01,Rocky Point Pine Barrens,11.85,,,1996-09-19T00:00:00.000
7,TOJ,Onondaga,52.01,Split Rock,3.716,,,1996-09-27T00:00:00.000
5,AFP,Warren,156,Jabe Pond Access,116.01,,,1996-10-10T00:00:00.000
7,GW,Onondaga,44.01,Ninemile Creek,7.97,,,1996-10-21T00:00:00.000
1,PB,Suffolk,93.04,Rocky Point Pine Barrens,151.3,,,1996-10-25T00:00:00.000
6,AFP,Herkimer,162,Black River Wild Forest,12.5,,,1996-10-30T00:00:00.000
7,PFR,Onondaga,30.08,Ninemile Creek/trib #6,0.4,,0.778,1996-11-12T00:00:00.000
1,PB,Suffolk,93.02,Rocky Point Pine Barrens,274.03,,,1996-11-12T00:00:00.000
5,AFP,Washington,68,Goldsmith,365.5,,,1996-11-27T00:00:00.000
1,PB,Suffolk,101.04,Dwarf Pine Plains East,275.57,,,1996-11-29T00:00:00.000
1,PB,Suffolk,100.01,Canoe Lake,36.965,,,1996-12-05T00:00:00.000
7,FWL,Cayuga,37.077,Northern Montezuma,45,,,1996-12-10T00:00:00.000
7,EX,Oswego,96,Big Bay / Three Mile Bay,58.96,,,1996-12-24T00:00:00.000
7,PLB,Onondaga,54,Cicero Swamp Wma,3.43,,,1996-12-30T00:00:00.000
4,CFP,Delaware,158.01,,,6.04,,1997-01-22T00:00:00.000
5,AFP,Franklin,225,Osgood Pond,3.69,,,1997-01-23T00:00:00.000
8,PFR,Steuben,22.15,Cohocton River,,,0.232,1997-01-29T00:00:00.000
1,PB,Suffolk,107.01,Henry's Hollow,267.405,,,1997-03-05T00:00:00.000
1,TOJ,Suffolk,055.01B,Multi-town,51.995,,,1997-03-07T00:00:00.000
4,TR,Rensselaer,20.02,Taconic Crest,159.454,1558.819,,1997-03-10T00:00:00.000
1,PB,Suffolk,107.02,Henry's Hollow,5.78,,,1997-03-26T00:00:00.000
1,PB,Suffolk,101.1,Dwarf Pine Plains East,34.896,,,1997-04-08T00:00:00.000
5,PFR,Clinton,104.02,Great Chazy River,43.3,,,1997-04-17T00:00:00.000
1,PB,Suffolk,101.14,Dwarf Pine Plains East,31.64,,,1997-05-08T00:00:00.000
5,AFP,Essex,404,Adirondack Forest Preserve,20,,,1997-05-15T00:00:00.000
1,PB,Suffolk,105.04,Toppings Path,0.12,,,1997-05-22T00:00:00.000
4,CFP,Greene,130.02,Plateau Mountain,610.85,,,1997-05-29T00:00:00.000
9,FWL,Cattaraugus,97.06,Conewango Creek Wetlands,46.5,,,1997-05-30T00:00:00.000
1,PB,Suffolk,105.10A,Toppings Path,1.5,,,1997-06-05T00:00:00.000
1,PB,Suffolk,105.06,Toppings Path,2.74,,,1997-06-05T00:00:00.000
1,PB,Suffolk,105.09,Toppings Path,34.24,,,1997-06-05T00:00:00.000
1,PB,Suffolk,105.10B,Toppings Path,,,,1997-06-05T00:00:00.000
7,SLP,Oswego,94.02,Eastern Ontario Shoreline,0,,,1997-06-09T00:00:00.000
7,SLP,Oswego,94.01,Lake Ontario Sand Dunes,0,,,1997-06-09T00:00:00.000
5,AFP,Essex,405,Baxter Mountain,78.5,,,1997-06-09T00:00:00.000
9,TR,Allegany,58.02,Genesee Valley Canal,0,,,1997-06-11T00:00:00.000
9,TR,Wyoming,16.02,Genesee Valley Canal,0,,,1997-06-12T00:00:00.000
8,TR,Livingston,35.02,Genesee Valley Canal,0,,,1997-06-12T00:00:00.000
6,WA,St Lawrence,234,Yellow Lake,5,,,1997-06-13T00:00:00.000
5,AFP,Franklin,223,Upper Saranac Lake,,0.95,,1997-06-16T00:00:00.000
7,PLA,Chenango,119,Sra Chenango 24,20.16,,,1997-06-16T00:00:00.000
1,PB,Suffolk,105.07,Toppings Path,1,,,1997-06-17T00:00:00.000
3,WA,Sullivan,104,Kellams Bridge,1.4,,,1997-06-18T00:00:00.000
6,PFR,Oneida,152.01,Cincinnati Creek,3.82,,,1997-06-18T00:00:00.000
9,PFR,Cattaraugus,102.01,Mckinstry Creek,,,0.4,1997-06-30T00:00:00.000
5,AFP,Warren,174,Chamberlain Lot,260,,,1997-07-08T00:00:00.000
7,GW,Oswego,95.13,Mcchesney,67.86,,,1997-07-15T00:00:00.000
3,TOJ,Sullivan,100,Willowemoc Creek,0.174,,,1997-07-16T00:00:00.000
